Date,Price,Open,High,Low,Vol.,Change %
3-Aug-09,4711.40,"4,633.80","4,723.75","4,617.75",277.00M,1.62%
31-Jul-09,4636.45,"4,571.60","4,669.75","4,571.60",300.44M,1.42%
30-Jul-09,4571.45,"4,513.10","4,582.35","4,474.50",338.98M,1.28%
29-Jul-09,4513.50,"4,565.80","4,573.85","4,420.80",368.04M,-1.11%
28-Jul-09,4564.10,"4,572.80","4,599.90","4,529.15",382.34M,-0.18%
27-Jul-09,4572.30,"4,568.65","4,596.75","4,528.50",277.02M,0.08%
24-Jul-09,4568.55,"4,524.80","4,578.75","4,504.85",351.26M,0.99%
23-Jul-09,4523.75,"4,409.70","4,532.40","4,405.95",273.05M,2.84%
22-Jul-09,4398.90,"4,469.30","4,557.95","4,380.45",337.80M,-1.57%
21-Jul-09,4469.10,"4,501.50","4,524.00","4,436.60",311.98M,-0.74%
20-Jul-09,4502.25,"4,377.90","4,510.30","4,377.90",280.31M,2.91%
17-Jul-09,4374.95,"4,231.45","4,390.40","4,230.15",250.23M,3.39%
16-Jul-09,4231.40,"4,223.50","4,305.00","4,205.50",292.29M,-0.05%
15-Jul-09,4233.50,"4,120.80","4,249.55","4,118.75",254.61M,2.97%
14-Jul-09,4111.40,"3,974.10","4,128.90","3,974.10",242.08M,3.46%
13-Jul-09,3974.05,"4,003.40","4,003.40","3,918.75",273.19M,-0.75%
10-Jul-09,4003.90,"4,081.40","4,129.95","3,976.80",303.00M,-1.89%
9-Jul-09,4080.95,"4,078.75","4,114.90","4,039.85",406.36M,0.05%
8-Jul-09,4078.90,"4,201.85","4,201.85","4,061.10",339.58M,-2.93%
7-Jul-09,4202.15,"4,166.00","4,231.80","4,155.50",290.92M,0.87%
6-Jul-09,4165.70,"4,429.60","4,479.80","4,133.70",365.74M,-5.84%
3-Jul-09,4424.25,"4,347.30","4,434.45","4,298.95",224.68M,1.73%
2-Jul-09,4348.85,"4,373.50","4,383.65","4,288.75",259.08M,0.18%
1-Jul-09,4340.90,"4,292.30","4,362.30","4,249.70",289.98M,1.16%
30-Jun-09,4291.10,"4,391.50","4,426.75","4,267.35",336.65M,-2.27%
29-Jun-09,4390.95,"4,375.40","4,439.95","4,350.90",293.32M,0.35%
26-Jun-09,4375.50,"4,243.95","4,383.75","4,243.95",284.57M,3.15%
25-Jun-09,4241.85,"4,293.85","4,337.95","4,221.15",407.99M,-1.19%
24-Jun-09,4292.95,"4,247.30","4,307.00","4,218.25",311.20M,1.08%
23-Jun-09,4247.00,"4,223.30","4,267.45","4,143.25",339.99M,0.28%
22-Jun-09,4235.25,"4,314.20","4,352.25","4,221.90",270.81M,-1.82%
19-Jun-09,4313.60,"4,251.10","4,326.20","4,206.70",350.07M,1.46%
18-Jun-09,4251.40,"4,352.95","4,375.30","4,222.15",373.40M,-2.40%
17-Jun-09,4356.15,"4,515.35","4,517.80","4,332.80",339.45M,-3.58%
16-Jun-09,4517.80,"4,478.10","4,537.95","4,405.95",320.01M,0.75%
15-Jun-09,4484.00,"4,584.65","4,601.05","4,469.60",322.45M,-2.17%
12-Jun-09,4583.40,"4,637.55","4,693.20","4,566.15",351.58M,-1.17%
11-Jun-09,4637.70,"4,657.40","4,679.55","4,586.15",391.60M,-0.38%
10-Jun-09,4655.25,"4,551.70","4,688.95","4,551.70",392.19M,2.29%
9-Jun-09,4550.95,"4,427.75","4,562.45","4,365.10",414.28M,2.73%
8-Jun-09,4429.90,"4,582.35","4,611.40","4,404.65",370.09M,-3.42%
5-Jun-09,4586.90,"4,573.30","4,636.85","4,561.95",409.91M,0.31%
4-Jun-09,4572.65,"4,530.30","4,582.20","4,453.45",424.05M,0.93%
3-Jun-09,4530.70,"4,525.50","4,574.90","4,478.60",415.83M,0.12%
2-Jun-09,4525.25,"4,530.45","4,586.40","4,451.30",396.33M,-0.10%
1-Jun-09,4529.90,"4,450.40","4,545.40","4,450.40",464.26M,1.82%
29-May-09,4448.95,"4,340.75","4,488.05","4,340.75",506.80M,2.58%
28-May-09,4337.10,"4,276.15","4,354.85","4,254.85",460.44M,1.43%
27-May-09,4276.05,"4,117.30","4,286.45","4,115.25",353.50M,3.87%
26-May-09,4116.70,"4,239.55","4,256.05","4,092.25",308.74M,-2.85%
25-May-09,4237.55,"4,238.10","4,270.05","4,205.10",299.30M,-0.02%
22-May-09,4238.50,"4,211.85","4,249.50","4,155.85",284.16M,0.66%
21-May-09,4210.90,"4,270.35","4,319.00","4,199.20",353.07M,-1.39%
20-May-09,4270.30,"4,318.75","4,362.85","4,244.70",471.34M,-1.11%
19-May-09,4318.45,"4,324.95","4,509.40","4,167.65",670.98M,-0.11%
18-May-09,4323.15,"3,673.15","4,384.30","3,673.15",2.77M,17.74%
15-May-09,3671.65,"3,597.85","3,686.25","3,597.85",300.88M,2.18%
14-May-09,3593.45,"3,631.90","3,631.90","3,537.60",288.15M,-1.15%
13-May-09,3635.25,"3,668.75","3,709.60","3,610.20",354.31M,-1.25%
12-May-09,3681.10,"3,554.65","3,691.65","3,534.20",366.06M,3.56%
11-May-09,3554.60,"3,615.75","3,660.20","3,534.55",285.34M,-1.83%
8-May-09,3620.70,"3,681.80","3,711.25","3,582.85",291.29M,-1.72%
7-May-09,3683.90,"3,617.15","3,692.05","3,617.15",326.30M,1.62%
6-May-09,3625.05,"3,662.00","3,717.05","3,608.65",408.10M,-1.01%
5-May-09,3661.90,"3,664.50","3,682.20","3,618.75",442.07M,0.22%
4-May-09,3654.00,"3,478.70","3,664.50","3,478.70",363.87M,5.18%
29-Apr-09,3473.95,"3,371.65","3,486.40","3,366.70",483.58M,3.32%
28-Apr-09,3362.35,"3,469.50","3,471.95","3,351.50",287.14M,-3.10%
27-Apr-09,3470.00,"3,481.30","3,517.25","3,435.30",315.94M,-0.31%
24-Apr-09,3480.75,"3,423.60","3,491.35","3,402.90",306.13M,1.67%
23-Apr-09,3423.70,"3,330.50","3,439.90","3,310.50",312.63M,2.80%
22-Apr-09,3330.30,"3,364.60","3,401.10","3,296.90",327.29M,-1.04%
21-Apr-09,3365.30,"3,376.85","3,414.70","3,309.35",344.67M,-0.35%
20-Apr-09,3377.10,"3,384.75","3,441.10","3,339.45",341.80M,-0.22%
17-Apr-09,3384.40,"3,369.50","3,489.85","3,359.25",491.16M,0.44%
16-Apr-09,3369.50,"3,484.35","3,511.25","3,354.20",559.55M,-3.29%
15-Apr-09,3484.15,"3,381.45","3,497.55","3,311.80",458.49M,3.00%
13-Apr-09,3382.60,"3,342.20","3,417.80","3,334.15",331.53M,1.21%
9-Apr-09,3342.05,"3,346.00","3,401.15","3,307.05",414.64M,-0.03%
8-Apr-09,3342.95,"3,255.35","3,357.05","3,149.25",409.03M,2.65%
6-Apr-09,3256.60,"3,211.35","3,303.90","3,211.35",357.07M,1.42%
2-Apr-09,3211.05,"3,061.05","3,228.75","3,061.05",370.84M,4.92%
1-Apr-09,3060.35,"3,023.85","3,069.30","2,965.70",319.35M,1.30%
31-Mar-09,3020.95,"2,981.70","3,054.30","2,966.40",341.40M,1.44%
30-Mar-09,2978.15,"3,108.75","3,110.20","2,962.40",275.78M,-4.20%
27-Mar-09,3108.65,"3,079.40","3,123.35","3,055.90",323.36M,0.86%
26-Mar-09,3082.25,"2,982.25","3,103.35","2,982.25",416.18M,3.28%
25-Mar-09,2984.35,"2,938.80","2,996.50","2,923.30",383.65M,1.55%
24-Mar-09,2938.70,"2,923.80","3,017.40","2,914.50",383.08M,-0.04%
23-Mar-09,2939.90,"2,807.25","2,949.75","2,807.25",250.48M,4.73%
20-Mar-09,2807.05,"2,807.35","2,816.10","2,773.65",186.84M,0.00%
19-Mar-09,2807.15,"2,797.05","2,822.25","2,771.35",223.41M,0.45%
18-Mar-09,2794.70,"2,757.65","2,836.05","2,752.25",261.79M,1.35%
17-Mar-09,2757.45,"2,776.35","2,805.60","2,738.70",288.78M,-0.71%
16-Mar-09,2777.25,"2,716.05","2,781.95","2,701.95",263.13M,2.13%
13-Mar-09,2719.25,"2,616.60","2,726.15","2,616.60",263.89M,3.89%
12-Mar-09,2617.45,"2,574.50","2,646.10","2,574.50",213.79M,1.72%
9-Mar-09,2573.15,"2,620.10","2,621.25","2,555.60",166.41M,-1.79%
6-Mar-09,2620.15,"2,576.75","2,628.10","2,539.45",242.51M,1.69%
5-Mar-09,2576.70,"2,645.90","2,663.90","2,564.10",244.86M,-2.59%
4-Mar-09,2645.20,"2,611.95","2,655.70","2,611.95",202.95M,0.87%
3-Mar-09,2622.40,"2,672.15","2,688.50","2,611.55",217.64M,-1.95%
2-Mar-09,2674.60,"2,764.60","2,764.60","2,659.55",194.23M,-3.22%
27-Feb-09,2763.65,"2,785.70","2,787.20","2,708.45",231.16M,-0.79%
26-Feb-09,2785.65,"2,762.20","2,797.80","2,731.90",250.17M,0.84%
25-Feb-09,2762.50,"2,733.45","2,789.35","2,733.45",176.81M,1.05%
24-Feb-09,2733.90,"2,737.25","2,746.20","2,677.55",182.64M,-0.09%
20-Feb-09,2736.45,"2,789.30","2,789.30","2,709.30",154.75M,-1.90%
19-Feb-09,2789.35,"2,776.70","2,802.15","2,767.60",174.59M,0.48%
18-Feb-09,2776.15,"2,755.15","2,806.50","2,736.65",214.16M,0.20%
17-Feb-09,2770.50,"2,853.85","2,854.65","2,757.30",191.43M,-2.74%
16-Feb-09,2848.50,"2,948.25","2,953.20","2,839.10",244.94M,-3.39%
13-Feb-09,2948.35,"2,896.95","2,969.75","2,896.85",195.72M,1.91%
12-Feb-09,2893.05,"2,927.40","2,939.00","2,886.55",214.71M,-1.12%
11-Feb-09,2925.70,"2,933.00","2,937.50","2,877.60",243.27M,-0.30%
10-Feb-09,2934.50,"2,919.70","2,957.40","2,891.75",301.75M,0.50%
9-Feb-09,2919.90,"2,843.05","2,926.75","2,840.15",117.64M,2.70%
6-Feb-09,2843.10,"2,779.35","2,852.50","2,778.65",187.96M,2.27%
5-Feb-09,2780.05,"2,802.75","2,816.80","2,754.85",178.48M,-0.82%
4-Feb-09,2803.05,"2,780.70","2,842.20","2,780.70",204.15M,0.69%
3-Feb-09,2783.90,"2,773.50","2,831.70","2,752.90",252.55M,0.62%
2-Feb-09,2766.65,"2,872.35","2,873.45","2,760.70",234.94M,-3.76%
30-Jan-09,2874.80,"2,824.05","2,881.00","2,774.10",295.00M,1.80%
29-Jan-09,2823.95,"2,849.35","2,873.85","2,795.35",330.75M,-0.90%
28-Jan-09,2849.50,"2,771.10","2,855.40","2,765.60",274.48M,2.82%
27-Jan-09,2771.35,"2,686.05","2,777.30","2,685.25",218.65M,3.46%
23-Jan-09,2678.55,"2,705.45","2,765.55","2,661.65",211.29M,-1.30%
22-Jan-09,2713.80,"2,714.70","2,744.85","2,681.40",229.57M,0.28%
21-Jan-09,2706.15,"2,777.40","2,787.30","2,690.20",220.07M,-3.23%
20-Jan-09,2796.60,"2,842.90","2,842.90","2,758.00",233.29M,-1.74%
19-Jan-09,2846.20,"2,828.70","2,868.20","2,819.90",328.34M,0.63%
16-Jan-09,2828.45,"2,737.00","2,835.65","2,724.20",229.50M,3.35%
15-Jan-09,2736.70,"2,832.30","2,832.30","2,701.75",214.28M,-3.48%
14-Jan-09,2835.30,"2,748.40","2,853.25","2,748.40",217.30M,3.29%
13-Jan-09,2744.95,"2,775.00","2,802.60","2,720.80",252.70M,-1.02%
12-Jan-09,2773.10,"2,868.85","2,869.20","2,748.55",382.11M,-3.48%
9-Jan-09,2873.00,"2,919.95","2,929.85","2,810.25",591.98M,-1.62%
7-Jan-09,2920.40,"3,112.80","3,147.20","2,888.20",686.89M,-6.18%
6-Jan-09,3112.80,"3,121.50","3,141.80","3,056.10",340.45M,-0.28%
5-Jan-09,3121.45,"3,058.75","3,131.95","3,056.45",311.93M,2.45%
2-Jan-09,3046.75,"3,034.60","3,079.85","3,021.80",318.67M,0.44%
1-Jan-09,3033.45,"2,963.30","3,039.25","2,963.30",226.68M,2.51%
31-Dec-08,2959.15,"2,979.80","3,002.65","2,937.35",288.83M,-0.68%
30-Dec-08,2979.50,"2,922.55","2,999.15","2,899.75",302.75M,1.96%
29-Dec-08,2922.20,"2,857.15","2,931.80","2,812.90",335.17M,2.27%
26-Dec-08,2857.25,"2,919.85","2,960.95","2,844.80",237.94M,-2.04%
24-Dec-08,2916.85,"2,967.40","2,968.00","2,900.45",380.46M,-1.74%
23-Dec-08,2968.65,"3,039.25","3,040.00","2,957.05",303.13M,-2.32%
22-Dec-08,3039.30,"3,077.25","3,110.45","3,027.80",315.83M,-1.24%
19-Dec-08,3077.50,"3,063.00","3,106.80","3,036.30",386.31M,0.55%
18-Dec-08,3060.75,"2,955.35","3,072.55","2,922.65",377.03M,3.60%
17-Dec-08,2954.35,"3,040.45","3,076.20","2,943.50",344.62M,-2.87%
16-Dec-08,3041.75,"2,983.60","3,052.55","2,963.30",270.62M,2.03%
15-Dec-08,2981.20,"2,917.90","3,012.10","2,917.90",293.74M,2.05%
12-Dec-08,2921.35,"2,915.35","2,936.80","2,812.55",38.34M,0.04%
11-Dec-08,2920.15,"2,934.05","2,945.30","2,861.55",352.21M,-0.28%
10-Dec-08,2928.25,"2,785.70","2,940.15","2,785.70",370.60M,5.18%
8-Dec-08,2784.00,"2,714.70","2,861.55","2,714.70",311.40M,2.56%
5-Dec-08,2714.40,"2,786.65","2,821.15","2,701.35",319.25M,-2.64%
4-Dec-08,2788.00,"2,656.50","2,793.80","2,646.35",324.14M,4.95%
3-Dec-08,2656.45,"2,657.50","2,693.65","2,611.95",282.54M,-0.05%
2-Dec-08,2657.80,"2,672.90","2,672.90","2,570.70",261.05M,-0.94%
1-Dec-08,2682.90,"2,755.15","2,832.85","2,669.50",257.84M,-2.62%
28-Nov-08,2755.10,"2,745.70","2,779.00","2,690.30",296.32M,0.10%
26-Nov-08,2752.25,"2,652.45","2,762.60","2,643.35",269.95M,3.70%
25-Nov-08,2654.00,"2,708.30","2,790.70","2,638.20",214.27M,-2.00%
24-Nov-08,2708.25,"2,690.85","2,740.35","2,633.80",236.73M,0.55%
21-Nov-08,2693.45,"2,553.60","2,718.60","2,539.80",281.16M,5.50%
20-Nov-08,2553.15,"2,634.20","2,634.20","2,502.90",204.79M,-3.11%
19-Nov-08,2635.00,"2,682.75","2,772.40","2,617.90",230.51M,-1.79%
18-Nov-08,2683.15,"2,802.45","2,802.45","2,664.30",220.18M,-4.16%
17-Nov-08,2799.55,"2,813.40","2,835.70","2,694.50",251.22M,-0.38%
14-Nov-08,2810.35,"2,848.00","2,938.80","2,778.80",256.74M,-1.34%
12-Nov-08,2848.45,"2,937.90","2,975.20","2,794.95",250.46M,-3.07%
11-Nov-08,2938.65,"3,147.20","3,147.20","2,919.45",221.65M,-6.66%
10-Nov-08,3148.25,"2,973.30","3,161.25","2,973.30",250.70M,5.89%
7-Nov-08,2973.00,"2,893.25","3,010.00","2,860.10",246.64M,2.78%
6-Nov-08,2892.65,"2,998.45","3,007.80","2,860.25",268.18M,-3.42%
5-Nov-08,2994.95,"3,155.75","3,240.55","2,971.00",305.69M,-4.68%
4-Nov-08,3142.10,"3,050.25","3,152.30","2,985.00",304.61M,3.23%
3-Nov-08,3043.85,"2,885.40","3,062.05","2,885.40",240.43M,5.48%
31-Oct-08,2885.60,"2,696.30","2,921.35","2,696.30",320.46M,6.99%
29-Oct-08,2697.05,"2,685.30","2,781.25","2,631.90",361.64M,0.46%
28-Oct-08,2684.60,"2,526.20","2,695.95","2,526.20",512.06M,6.35%
27-Oct-08,2524.20,"2,583.75","2,585.30","2,252.75",341.12M,-2.31%
24-Oct-08,2584.00,"2,936.25","2,936.25","2,525.05",348.59M,-12.20%
23-Oct-08,2943.15,"3,064.80","3,085.10","2,917.15",234.03M,-3.98%
22-Oct-08,3065.15,"3,234.70","3,235.75","3,051.80",171.32M,-5.25%
21-Oct-08,3234.90,"3,125.40","3,254.85","3,117.35",225.59M,3.59%
20-Oct-08,3122.80,"3,108.20","3,238.40","3,058.95",185.82M,1.58%
17-Oct-08,3074.35,"3,269.05","3,335.95","3,046.60",193.32M,-5.96%
16-Oct-08,3269.30,"3,333.85","3,333.85","3,099.90",234.08M,-2.07%
15-Oct-08,3338.40,"3,517.90","3,518.50","3,324.55",163.72M,-5.12%
14-Oct-08,3518.65,"3,494.10","3,648.25","3,491.50",177.53M,0.80%
13-Oct-08,3490.70,"3,272.90","3,510.20","3,272.90",195.17M,6.43%
10-Oct-08,3279.95,"3,502.05","3,502.05","3,198.95",283.84M,-6.65%
8-Oct-08,3513.65,"3,604.40","3,604.40","3,329.45",228.58M,-2.58%
7-Oct-08,3606.60,"3,606.95","3,732.65","3,537.00",210.22M,0.12%
6-Oct-08,3602.35,"3,817.30","3,820.85","3,581.60",157.49M,-5.66%
3-Oct-08,3818.30,"3,953.55","3,969.55","3,804.85",172.52M,-3.35%
1-Oct-08,3950.75,"3,921.85","4,000.50","3,861.25",149.83M,0.75%
30-Sep-08,3921.20,"3,848.70","3,966.85","3,715.05",217.10M,1.85%
29-Sep-08,3850.05,"3,990.20","3,997.55","3,777.30",187.24M,-3.39%
26-Sep-08,3985.25,"4,108.75","4,110.70","3,970.35",133.85M,-3.05%
25-Sep-08,4110.55,"4,162.15","4,172.60","4,077.50",217.96M,-1.22%
24-Sep-08,4161.25,"4,125.75","4,207.95","4,115.85",156.07M,0.83%
23-Sep-08,4126.90,"4,223.90","4,224.70","4,117.90",125.53M,-2.28%
22-Sep-08,4223.05,"4,248.95","4,303.25","4,202.40",136.00M,-0.52%
19-Sep-08,4245.25,"4,040.80","4,262.65","4,040.80",205.15M,5.13%
18-Sep-08,4038.15,"4,005.25","4,050.10","3,799.55",203.05M,0.75%
17-Sep-08,4008.25,"4,074.80","4,116.70","3,974.60",153.24M,-1.64%
16-Sep-08,4074.90,"4,072.55","4,090.10","3,919.35",159.50M,0.05%
15-Sep-08,4072.90,"4,231.95","4,237.25","3,955.40",147.16M,-3.68%
12-Sep-08,4228.45,"4,291.60","4,323.90","4,200.15",145.75M,-1.44%
