Date,Price,Open,High,Low,Vol.,Change %
2-Jun-99,1125.15,"1,120.65","1,127.65","1,107.20",37.66M,0.12%
1-Jun-99,1123.8,"1,125.55","1,139.80","1,113.00",52.30M,-0.75%
31-May-99,1132.3,"1,098.00","1,132.80","1,097.85",45.14M,4.70%
28-May-99,1081.5,"1,088.00","1,098.25","1,049.95",53.63M,-0.91%
27-May-99,1091.45,"1,132.85","1,147.95","1,091.45",43.74M,-3.88%
26-May-99,1135.5,"1,165.15","1,170.10","1,122.60",49.53M,-2.13%
25-May-99,1160.2,"1,148.05","1,164.20","1,147.40",50.70M,0.75%
24-May-99,1151.6,"1,147.40","1,154.50","1,132.50",39.33M,0.50%
21-May-99,1145.85,"1,176.95","1,177.00","1,139.10",51.67M,-1.80%
20-May-99,1166.9,"1,181.00","1,201.30","1,166.90",63.58M,-1.13%
19-May-99,1180.25,"1,169.60","1,189.20","1,161.60",76.33M,1.73%
18-May-99,1160.15,"1,155.75","1,176.30","1,153.45",59.04M,0.72%
17-May-99,1151.9,"1,164.45","1,171.10","1,120.70",71.28M,-1.15%
14-May-99,1165.35,"1,157.60","1,173.55","1,144.90",72.33M,1.50%
13-May-99,1148.1,"1,131.95","1,149.60","1,130.85",55.93M,3.35%
12-May-99,1110.9,"1,135.45","1,142.10","1,086.70",60.73M,-0.46%
11-May-99,1116,"1,102.20","1,121.95","1,100.50",45.79M,1.99%
10-May-99,1094.2,"1,070.75","1,094.20","1,070.35",39.31M,2.94%
7-May-99,1062.9,"1,065.40","1,080.70","1,059.05",44.52M,1.52%
6-May-99,1046.95,"1,024.95","1,048.05","1,023.95",38.42M,2.69%
5-May-99,1019.55,"1,014.65","1,034.55","1,004.90",41.62M,1.11%
4-May-99,1008.35,971.9,"1,008.35",971.8,27.44M,3.87%
3-May-99,970.75,979.8,986.4,968.25,23.77M,-0.76%
30-Apr-99,978.2,970.9,980.75,969.6,26.83M,1.20%
29-Apr-99,966.6,950.25,966.6,948.4,38.93M,2.45%
28-Apr-99,943.5,928.85,944.45,916,18.55M,1.30%
26-Apr-99,931.35,945.9,955.5,931.3,24.33M,-5.16%
23-Apr-99,982,987.05,994.3,968.15,21.27M,0.04%
22-Apr-99,981.65,999.55,"1,012.00",971.9,20.92M,-1.51%
21-Apr-99,996.65,997.35,"1,003.40",990.95,16.54M,0.13%
20-Apr-99,995.4,995.65,"1,003.70",983.7,22.58M,0.15%
19-Apr-99,993.9,961.3,"1,000.60",955.75,21.63M,2.79%
